run_label,parameter_name,parameter_value,subgroup,rows,log_loss,auc,accuracy,best_iteration
baseline,baseline,baseline,overall,1097,0.6561974287033081,0.6497577894636719,0.6061987237921604,66
colsample_bytree=0.6,colsample_bytree,0.6,overall,1097,0.6563856601715088,0.6492261492261492,0.6153144940747494,67
colsample_bytree=0.7,colsample_bytree,0.7,overall,1097,0.6577179431915283,0.6479437582378759,0.6198723792160438,68
colsample_bytree=0.9,colsample_bytree,0.9,overall,1097,0.6550558805465698,0.6519454975337329,0.6080218778486782,72
colsample_bytree=1.0,colsample_bytree,1.0,overall,1097,0.6567336916923523,0.6484770970065088,0.6116681859617138,75
gamma=0.5,gamma,0.5,overall,1097,0.6562128067016602,0.649706833530363,0.6061987237921604,66
gamma=1.0,gamma,1.0,overall,1097,0.65545654296875,0.6493535390594214,0.6089334548769371,83
gamma=2.0,gamma,2.0,overall,1097,0.6554633975028992,0.6503420841656136,0.6134913400182316,87
learning_rate=0.03,learning_rate,0.03,overall,1097,0.6556791663169861,0.6486418545242074,0.5989061075660893,130
learning_rate=0.07,learning_rate,0.07,overall,1097,0.6576152443885803,0.6469144483850366,0.6071103008204193,48
learning_rate=0.1,learning_rate,0.1,overall,1097,0.6548452973365784,0.64968984821926,0.6116681859617138,64
max_depth=3,max_depth,3,overall,1097,0.6567125916481018,0.6493535390594214,0.6125797629899726,88
max_depth=5,max_depth,5,overall,1097,0.6580988168716431,0.6444142105906812,0.6025524156791249,58
max_depth=6,max_depth,6,overall,1097,0.6555789113044739,0.6514614161672985,0.6153144940747494,59
min_child_weight=1,min_child_weight,1,overall,1097,0.6568053960800171,0.6472422648893237,0.6034639927073838,72
min_child_weight=5,min_child_weight,5,overall,1097,0.6553129553794861,0.6507225551343199,0.6107566089334548,89
min_child_weight=7,min_child_weight,7,overall,1097,0.6546227931976318,0.6514885926650632,0.6162260711030082,88
n_estimators=150,n_estimators,150,overall,1097,0.6561974287033081,0.6497577894636719,0.6061987237921604,66
n_estimators=500,n_estimators,500,overall,1097,0.6561974287033081,0.6497577894636719,0.6061987237921604,66
n_estimators=800,n_estimators,800,overall,1097,0.6561974287033081,0.6497577894636719,0.6061987237921604,66
reg_alpha=0.1,reg_alpha,0.1,overall,1097,0.6563113331794739,0.6499004660769367,0.6125797629899726,72
reg_alpha=0.5,reg_alpha,0.5,overall,1097,0.6561119556427002,0.6474494856847798,0.6107566089334548,85
reg_alpha=1.0,reg_alpha,1.0,overall,1097,0.6562740206718445,0.6470282499694264,0.6025524156791249,85
reg_lambda=10.0,reg_lambda,10.0,overall,1097,0.6546995639801025,0.6493501419972009,0.6116681859617138,120
reg_lambda=2.0,reg_lambda,2.0,overall,1097,0.6569626331329346,0.6462944845297787,0.6125797629899726,87
reg_lambda=5.0,reg_lambda,5.0,overall,1097,0.6564378142356873,0.6472116913293384,0.6080218778486782,83
subsample=0.6,subsample,0.6,overall,1097,0.6572776436805725,0.6477246477246477,0.609845031905196,62
subsample=0.7,subsample,0.7,overall,1097,0.6534486413002014,0.6526198143845203,0.6080218778486782,110
subsample=0.9,subsample,0.9,overall,1097,0.6560388207435608,0.6503318929789519,0.6189608021877848,83
subsample=1.0,subsample,1.0,overall,1097,0.6561184525489807,0.6480541627600451,0.609845031905196,87
